code,local_code,name,iso_country
RS-23,23,Jablanica,RS
RS-24,24,Pčinja,RS
RS-25,25,Kosovo,RS
RS-26,26,Peć,RS
RS-27,27,Prizren,RS
RS-28,28,Kosovska Mitrovica,RS
RS-29,29,Kosovo-Pomoravlje,RS
RS-U-A,U-A,(unassigned),RS
RU-AD,AD,Republic of Adygea,RU
RU-AL,AL,Altai Republic,RU
RU-ALT,ALT,Altai Krai,RU
RU-AMU,AMU,Amur Oblast,RU
RU-ARK,ARK,Arkhangelsk Oblast,RU
RU-AST,AST,Astrakhan Oblast,RU
RU-BA,BA,Republic of Bashkortostan,RU
RU-BEL,BEL,Belgorod Oblast,RU
RU-BRY,BRY,Bryansk Oblast,RU
RU-BU,BU,Republic of Buryat,RU
RU-CE,CE,Chechen Republic,RU
RU-CHE,CHE,Chelyabinsk Oblast,RU
RU-CHI,CHI,Zabaykalsky Krai,RU
RU-CHU,CHU,Chukotka Autonomous Okrug,RU
RU-CU,CU,Chuvash Republic,RU
RU-DA,DA,Republic of Dagestan,RU
RU-IN,IN,Republic of Ingushetia,RU
RU-IRK,IRK,Irkutsk Oblast,RU
RU-IVA,IVA,Ivanovo Oblast,RU
RU-KAM,KAM,Kamchatka Krai,RU
RU-KB,KB,Kabardino-Balkar Republic,RU
RU-KC,KC,Karachay-Cherkess Republic,RU
RU-KDA,KDA,Krasnodar Krai,RU
RU-KEM,KEM,Kemerovo Oblast,RU
RU-KGD,KGD,Kaliningrad Oblast,RU
RU-KGN,KGN,Kurgan Oblast,RU
RU-KHA,KHA,Khabarovsk Krai,RU
RU-KHM,KHM,Khanty-Mansi Autonomous Okrug,RU
RU-KIR,KIR,Kirov Oblast,RU
RU-KK,KK,Republic of Khakassia,RU
RU-KL,KL,Republic of Kalmykia,RU
RU-KLU,KLU,Kaluga Oblast,RU
RU-KO,KO,Komi Republic,RU
RU-KOS,KOS,Kostroma Oblast,RU
RU-KR,KR,Republic of Karelia,RU
RU-KRS,KRS,Kursk Oblast,RU
RU-KYA,KYA,Krasnoyarsk Krai,RU
RU-LEN,LEN,Leningrad Oblast,RU
RU-LIP,LIP,Lipetsk Oblast,RU
RU-MAG,MAG,Magadan Oblast,RU
RU-ME,ME,Mari El Republic,RU
RU-MO,MO,Republic of Mordovia,RU
RU-MOS,MOS,Moscow Oblast,RU
RU-MOW,MOW,Moscow (city),RU
RU-MUR,MUR,Murmansk Oblast,RU
RU-NEN,NEN,Nenets Autonomous Okrug,RU
RU-NGR,NGR,Novgorod Oblast,RU
RU-NIZ,NIZ,Nizhny Novgorod Oblast,RU
RU-NVS,NVS,Novosibirsk Oblast,RU
RU-OMS,OMS,Omsk Oblast,RU
RU-ORE,ORE,Orenburg Oblast,RU
RU-ORL,ORL,Oryol Oblast,RU
RU-PER,PER,Perm Krai,RU
RU-PNZ,PNZ,Penza Oblast,RU
RU-PRI,PRI,Primorsky Krai,RU
RU-PSK,PSK,Pskov Oblast,RU
RU-ROS,ROS,Rostov Oblast,RU
RU-RYA,RYA,Ryazan Oblast,RU
RU-SA,SA,Sakha (Yakutia) Republic,RU
RU-SAK,SAK,Sakhalin Oblast,RU
RU-SAM,SAM,Samara Oblast,RU
RU-SAR,SAR,Saratov Oblast,RU
RU-SE,SE,Republic of North Ossetia-Alania,RU
RU-SMO,SMO,Smolensk Oblast,RU
RU-SPE,SPE,Saint Petersburg (city),RU
RU-STA,STA,Stavropol Krai,RU
RU-SVE,SVE,Sverdlovsk Oblast,RU
RU-TA,TA,Republic of Tatarstan,RU
RU-TAM,TAM,Tambov Oblast,RU
RU-TOM,TOM,Tomsk Oblast,RU
RU-TUL,TUL,Tula Oblast,RU
RU-TVE,TVE,Tver Oblast,RU
RU-TY,TY,Tuva Republic,RU
RU-TYU,TYU,Tyumen Oblast,RU
RU-U-A,U-A,(unassigned),RU
RU-UD,UD,Udmurt Republic,RU
RU-ULY,ULY,Ulyanovsk Oblast,RU
RU-UOB,UOB,Ust-Orda Buryat Autonomous Okrug,RU
RU-VGG,VGG,Volgograd Oblast,RU
RU-VLA,VLA,Vladimir Oblast,RU
RU-VLG,VLG,Vologda Oblast,RU
RU-VOR,VOR,Voronezh Oblast,RU
RU-YAN,YAN,Yamalo-Nenets Autonomous Okrug,RU
RU-YAR,YAR,Yaroslavl Oblast,RU
RU-YEV,YEV,Jewish Autonomous Oblast,RU
RW-01,01,Ville de Kigali,RW
RW-02,02,East,RW
RW-03,03,North,RW
RW-04,04,West,RW
RW-05,05,South,RW
RW-B,B,Gitarama,RW
RW-C,C,Butare,RW
RW-D,D,Gikongoro,RW
RW-E,E,Cyangugu,RW
RW-F,F,Kibuye,RW
RW-G,G,Gisenyi,RW
RW-H,H,Ruhengeri,RW
RW-I,I,Byumba,RW
RW-J,J,Kibungo,RW
RW-K,K,Kigali-Rural Kigali y' Icyaro,RW
RW-L,L,Kigali-Ville Kigali Ngari,RW
RW-M,M,Mutara,RW
RW-U-A,U-A,(unassigned),RW
SA-01,01,Riyadh Region,SA
SA-02,02,Makkah Region,SA
SA-03,03,Al Madinah Region,SA
SA-04,04,Ash Sharqiyah Region,SA
SA-05,05,Al Qasim Region,SA
SA-06,06,Ha'il Region,SA
SA-07,07,Tabuk Region,SA
SA-08,08,The Northern Border Region,SA
SA-09,09,Jlzan Region,SA
SA-10,10,Najran Region,SA
SA-11,11,Al Batah Region,SA
SA-12,12,Al Jawf Region,SA
SA-14,14,Asir Region,SA
SA-U-A,U-A,(unassigned),SA
SB-CE,CE,Central,SB
SB-CH,CH,Choiseul,SB
SB-CT,CT,Capital Territory (Honiara),SB
SB-GU,GU,Guadalcanal,SB
SB-IS,IS,Isabel,SB
SB-MK,MK,Makira,SB
SB-ML,ML,Malaita,SB
SB-RB,RB,Rennell and Bellona,SB
SB-TE,TE,Temotu,SB
SB-U-A,U-A,(unassigned),SB
SB-WE,WE,Western,SB
SC-01,01,Anse aux Pins,SC
SC-02,02,Anse Boileau,SC
SC-03,03,Anse Étoile,SC
SC-04,04,Anse Louis,SC
SC-05,05,Anse Royale,SC
SC-06,06,Baie Lazare,SC
SC-07,07,Baie Sainte Anne,SC
SC-08,08,Beau Vallon,SC
SC-09,09,Bel Air,SC
SC-10,10,Bel Ombre,SC
SC-11,11,Cascade,SC
SC-12,12,Glacis,SC
SC-13,13,Grand' Anse (Mahé),SC
SC-14,14,Grand' Anse (Praslin),SC
SC-15,15,La Digue,SC
SC-16,16,La Rivière Anglaise,SC
SC-17,17,Mont Buxton,SC
SC-18,18,Mont Fleuri,SC
SC-19,19,Plaisance,SC
SC-20,20,Pointe La Rue,SC
SC-21,21,Port Glaud,SC
SC-22,22,Saint Louis,SC
SC-23,23,Takamaka,SC
SC-U-A,U-A,(unassigned),SC
SD-01,01,Northern State,SD
SD-02,02,North Darfur State,SD
SD-03,03,Khartoum State,SD
SD-04,04,River Nile State,SD
SD-05,05,Kassala State,SD
SD-06,06,Al Qadarif State,SD
SD-07,07,Al Jazirah State,SD
SD-08,08,White Nile State,SD
SD-09,09,North Kurdufan State,SD
SD-10,10,West Kurdufan State,SD
SD-11,11,South Darfur State,SD
SD-12,12,West Darfur State,SD
SD-13,13,South Kurdufan State,SD
SD-24,24,Blue Nile State,SD
SD-25,25,Sennar State,SD
SD-26,26,Red Sea State,SD
SD-DC,DC,Central Darfur State,SD
SD-DE,DE,East Darfur State,SD
SD-U-A,U-A,(unassigned),SD
SE-AB,AB,Stockholms län,SE
SE-AC,AC,Västerbottens län,SE
SE-BD,BD,Norrbottena län,SE
SE-C,C,Uppsala län,SE
SE-D,D,Södermanlands län,SE
SE-E,E,Östergötlands län,SE
SE-F,F,Jönköpings län,SE
SE-G,G,Kronoberge län,SE
SE-H,H,Kalmar län,SE
SE-I,I,Gotlands län,SE
SE-K,K,Blekinge län,SE
SE-M,M,Skåne län,SE
SE-N,N,Hallands län,SE
SE-Q,Q,Västra Götalands län,SE
SE-S,S,Värmlanda län,SE
SE-T,T,Örebro län,SE
SE-U,U,Västmanlanda län,SE
SE-U-A,U-A,(unassigned),SE
SE-W,W,Dalarnas län,SE
SE-X,X,Gävleborge län,SE
SE-Y,Y,Västernorrlands län,SE
SE-Z,Z,Jämtlande län,SE
SG-01,01,Central Singapore,SG
SG-02,02,North East,SG
SG-03,03,North West,SG
SG-04,04,South East,SG
SG-05,05,South West,SG
SG-U-A,U-A,(unassigned),SG
SH-AC,AC,Ascension,SH
SH-SH,SH,Saint Helena,SH
SH-TA,TA,Tristan da Cunha,SH
SH-U-A,U-A,(unassigned),SH
SI-001,001,Ajdovscina,SI
SI-002,002,Beltinci,SI
SI-003,003,Bled,SI
SI-004,004,Bohinj,SI
SI-005,005,Borovnica,SI
SI-006,006,Bovec,SI
SI-007,007,Brda,SI
SI-008,008,Brezovica,SI
SI-009,009,Brezica,SI
SI-010,010,Tisina,SI
SI-011,011,Celje,SI
SI-012,012,Cerklje na Gorenjskem,SI
SI-013,013,Cerknica,SI
SI-014,014,Cerkno,SI
SI-015,015,Crensovci,SI
SI-016,016,Crna na Koroskem,SI
SI-017,017,Crnomelj,SI
SI-018,018,Destrnik,SI
SI-019,019,Divaca,SI
SI-020,020,Dobrepolje,SI
SI-021,021,Dobrova-Polhov Gradec,SI
SI-022,022,Dol pri Ljubljani,SI
SI-023,023,Domzale,SI
SI-024,024,Dornava,SI
SI-025,025,Dravograd,SI
SI-026,026,Duplek,SI
SI-027,027,Gorenja vas-Poljane,SI
SI-028,028,Gorsnica,SI
SI-029,029,Gornja Radgona,SI
SI-030,030,Gornji Grad,SI
SI-031,031,Gornji Petrovci,SI
SI-032,032,Grosuplje,SI
SI-033,033,Salovci,SI
SI-034,034,Hrastnik,SI
SI-035,035,Hrpelje-Kozina,SI
SI-036,036,Idrija,SI
SI-037,037,Ig,SI
SI-038,038,IIrska Bistrica,SI
SI-039,039,Ivancna Gorica,SI
SI-040,040,Izola,SI
SI-041,041,Jesenice,SI
SI-042,042,Jursinci,SI
SI-043,043,Kamnik,SI
SI-044,044,Kanal,SI
SI-045,045,Kidricevo,SI
SI-046,046,Kobarid,SI
SI-047,047,Kobilje,SI
SI-048,048,Jovevje,SI
SI-049,049,Komen,SI
SI-050,050,Koper,SI
SI-051,051,Kozje,SI
SI-052,052,Kranj,SI
SI-053,053,Kranjska Gora,SI
SI-054,054,Krsko,SI
SI-055,055,Kungota,SI
SI-056,056,Kuzma,SI
SI-057,057,Lasko,SI
SI-058,058,Lenart,SI
SI-059,059,Lendava,SI
SI-060,060,Litija,SI
SI-061,061,Ljubljana,SI
SI-062,062,Ljubno,SI
SI-063,063,Ljutomer,SI
SI-064,064,Logatec,SI
SI-065,065,Loska dolina,SI
SI-066,066,Loski Potok,SI
SI-067,067,Luce,SI
SI-068,068,Lukovica,SI
SI-069,069,Majsperk,SI
SI-070,070,Maribor,SI
SI-071,071,Medvode,SI
SI-072,072,Menges,SI
SI-073,073,Metlika,SI
SI-074,074,Mezica,SI
SI-075,075,Miren-Kostanjevica,SI
SI-076,076,Mislinja,SI
SI-077,077,Moravce,SI
SI-078,078,Moravske Toplice,SI
SI-079,079,Mozirje,SI
SI-080,080,Murska Sobota,SI
SI-081,081,Muta,SI
SI-082,082,Naklo,SI
SI-083,083,Nazarje,SI
SI-084,084,Nova Gorica,SI
SI-085,085,Nova mesto,SI
SI-086,086,Odranci,SI
SI-087,087,Ormo,SI
SI-088,088,Osilnica,SI
SI-089,089,Pesnica,SI
SI-090,090,Piran,SI
SI-091,091,Pivka,SI
SI-092,092,Podčetrtek,SI
SI-093,093,Podvelka,SI
SI-094,094,Postojna,SI
SI-095,095,Preddvor,SI
SI-096,096,Ptuj,SI
SI-097,097,Puconci,SI
SI-098,098,Rače-Fram,SI
SI-099,099,Radeče,SI
SI-100,100,Radenci,SI
SI-101,101,Radlje ob Dravi,SI
SI-102,102,Radovljica,SI
SI-103,103,Ravne na Koroškem,SI
SI-104,104,Ribnica,SI
SI-105,105,Rogašovci,SI
SI-106,106,Rogaška Slatina,SI
SI-107,107,Rogatec,SI
SI-108,108,Ruše,SI
SI-109,109,Semič,SI
SI-110,110,Sevnica,SI
SI-111,111,Seana,SI
SI-112,112,Slovenj Gradec,SI
SI-113,113,Slovenska Bistrica,SI
SI-114,114,Slovenske Konjice,SI
SI-115,115,Starše,SI
SI-116,116,Sveti Jurij,SI
SI-117,117,Sencur,SI
SI-118,118,Sentilj,SI
SI-119,119,Sentjernej,SI
SI-120,120,Sentjur pri Celju,SI
SI-121,121,Skocjan,SI
SI-122,122,Skofja Loka,SI
SI-123,123,Skoftjica,SI
SI-124,124,Smarje pri Jelsah,SI
SI-125,125,Smartno ob Paki,SI
SI-126,126,Sostanj,SI
SI-127,127,Store,SI
SI-128,128,Tolmin,SI
SI-129,129,Trbovje,SI
SI-130,130,Trebnje,SI
SI-131,131,Trzic,SI
SI-132,132,Turnisce,SI
SI-133,133,Velenje,SI
SI-134,134,Velika Lasce,SI
SI-135,135,Videm,SI
SI-136,136,Vipava,SI
SI-137,137,Vitanje,SI
SI-138,138,Vojnik,SI
SI-139,139,Vojnik,SI
SI-140,140,Vrhnika,SI
SI-141,141,Vuzenica,SI
SI-142,142,Zagorje ob Savi,SI
SI-143,143,Zavrc,SI
SI-144,144,Zrece,SI
SI-146,146,Zelezniki,SI
SI-147,147,Ziri,SI
SI-148,148,Benedikt,SI
SI-149,149,Bistrica ob Sotli,SI
SI-150,150,Bloke,SI
SI-151,151,Braslovce,SI
SI-152,152,Cankova,SI
SI-153,153,Cerkvenjak,SI
SI-154,154,Dobje,SI
SI-155,155,Dobrna,SI
SI-156,156,Dobrovnik,SI
SI-157,157,Dolenjske Toplice,SI
SI-158,158,Grad,SI
SI-159,159,Hajdina,SI
SI-160,160,Hoce-Slivnica,SI
SI-161,161,Hodos,SI
SI-162,162,Jorjul,SI
SI-163,163,Jezersko,SI
SI-164,164,Komenda,SI
SI-165,165,Kostel,SI
SI-166,166,Krizevci,SI
SI-167,167,Lovrenc na Pohorju,SI
SI-168,168,Markovci,SI
SI-169,169,Miklavz na Dravskern polju,SI
SI-170,170,Mirna Pec,SI
SI-171,171,Oplotnica,SI
SI-172,172,Podlehnik,SI
SI-173,173,Polzela,SI
SI-174,174,Prebold,SI
SI-175,175,Prevalje,SI
SI-176,176,Razkrije,SI
SI-177,177,Ribnica na Pohorju,SI
SI-178,178,Selnica ob Dravi,SI
SI-179,179,Sodraica,SI
SI-180,180,Solčava,SI
SI-181,181,Sveta Ana,SI
SI-182,182,Sveti Andraz v Slovenskih goricah,SI
SI-183,183,Sempeter-Vrtojba,SI
SI-184,184,Tabor,SI
SI-185,185,Trnovska vas,SI
SI-186,186,Trzin,SI
SI-187,187,Velika Polana,SI
SI-188,188,Verzej,SI
SI-189,189,Vransko,SI
SI-190,190,Zalec,SI
SI-191,191,Zetale,SI
SI-192,192,Zirovnica,SI
SI-193,193,Zuzemberk,SI
SI-194,194,Smartno pri Litiji,SI
SI-U-A,U-A,(unassigned),SI
SK-BC,BC,Banská Bystrica,SK
SK-BL,BL,Bratislava,SK
SK-KI,KI,Košice,SK
SK-NJ,NJ,Nitra,SK
SK-PV,PV,Prešov,SK
SK-TA,TA,Trnava,SK
SK-TC,TC,Trenčín,SK
SK-U-A,U-A,(unassigned),SK
SK-ZI,ZI,Žilina,SK
SL-E,E,Eastern Province,SL
SL-N,N,Northern Province,SL
SL-S,S,Southern Province,SL
SL-U-A,U-A,(unassigned),SL
SL-W,W,Western Area,SL
SM-01,01,Acquaviva,SM
SM-02,02,Chiesanuova,SM
SM-03,03,Domagnano,SM
SM-04,04,Faetano,SM
SM-05,05,Fiorentino,SM
SM-06,06,Borgo Maggiore,SM
SM-07,07,San Marino,SM
SM-08,08,Montegiardino,SM
SM-09,09,Serravalle,SM
SM-U-A,U-A,(unassigned),SM
SN-DB,DB,Diourbel Region,SN
SN-DK,DK,Dakar Region,SN
SN-FK,FK,Fatick Region,SN
SN-KD,KD,Kolda Region,SN
SN-KL,KL,Kaolack Region,SN
SN-LG,LG,Louga Region,SN
SN-MT,MT,Matam Region,SN
SN-SL,SL,Saint-Louis Region,SN
SN-TC,TC,Tambacounda Region,SN
SN-TH,TH,Thiès Region,SN
SN-U-A,U-A,(unassigned),SN
SN-ZG,ZG,Ziguinchor Region,SN
SO-AW,AW,Awdal,SO
SO-BK,BK,Bakool,SO
SO-BN,BN,Banaadir,SO
SO-BR,BR,Bari,SO
SO-BY,BY,Bay,SO
SO-GA,GA,Galguduud,SO
SO-GE,GE,Gedo,SO
SO-HI,HI,Hiirsan,SO
SO-JD,JD,Jubbada Dhexe,SO
SO-JH,JH,Jubbada Hoose,SO
SO-MU,MU,Mudug,SO
SO-NU,NU,Nugaal,SO
SO-SA,SA,Saneag,SO
SO-SD,SD,Shabeellaha Dhexe,SO
SO-SH,SH,Shabeellaha Hoose,SO
SO-SO,SO,Sool,SO
SO-TO,TO,Togdheer,SO
SO-U-A,U-A,(unassigned),SO
SO-WO,WO,Woqooyi Galbeed,SO
SR-BR,BR,Brokopondo,SR
SR-CM,CM,Commewijne,SR
SR-CR,CR,Coronie,SR
SR-MA,MA,Marowijne,SR
SR-NI,NI,Nickerie,SR
SR-PM,PM,Paramaribo,SR
SR-PR,PR,Para,SR
SR-SA,SA,Saramacca,SR
SR-SI,SI,Sipaliwini,SR
SR-U-A,U-A,(unassigned),SR
SR-WA,WA,Wanica,SR
TD-TA,TA,Tandjile,TD
SS-14,14,Western Bahr el Ghazal State,SS
SS-15,15,Northern Bahr el Ghazal State,SS
SS-16,16,Western Equatoria State,SS
SS-17,17,Central Equatoria State,SS
SS-18,18,Lakes State,SS
SS-19,19,Eastern Equatoria State,SS
SS-20,20,Jonglei State,SS
SS-21,21,Warrap State,SS
SS-22,22,Unity State,SS
SS-23,23,Upper Nile State,SS
SS-U-A,U-A,(unassigned),SS
ST-P,P,Principe,ST
ST-S,S,São Tomé,ST
ST-U-A,U-A,(unassigned),ST
SV-AH,AH,Ahuachapan,SV
SV-CA,CA,Cabanas,SV
SV-CH,CH,Chalatenango,SV
SV-CU,CU,Cuscatlan,SV
SV-LI,LI,La Libertad,SV
SV-MO,MO,Morazan,SV
SV-PA,PA,La Paz,SV
SV-SA,SA,Santa Ana,SV
SV-SM,SM,San Miguel,SV
SV-SO,SO,Sonsonate,SV
SV-SS,SS,San Salvador,SV
SV-SV,SV,San Vicente,SV
SV-U-A,U-A,(unassigned),SV
SV-UN,UN,La Unión,SV
SV-US,US,Usulutan,SV
SX-U-A,U-A,(unassigned),SX
SY-DI,DI,Damascus Governorate,SY
SY-DR,DR,Daraa Governorate,SY
SY-DY,DY,Deir ez-Zor Governorate,SY
SY-HA,HA,Al-Hasakah Governorate,SY
SY-HI,HI,Homs Governorate,SY
SY-HL,HL,Aleppo Governorate,SY
SY-HM,HM,Hama Governorate,SY
SY-ID,ID,Idlib Governorate,SY
SY-LA,LA,Latakia Governorate,SY
SY-QU,QU,Quneitra Governorate,SY
SY-RA,RA,Ar-Raqqah Governorate,SY
SY-RD,RD,Rif Dimashq Governorate,SY
SY-SU,SU,As-Suwayda Governorate,SY
SY-TA,TA,Tartus Governorate,SY
SY-U-A,U-A,(unassigned),SY
SZ-HH,HH,Hhohho,SZ
SZ-LU,LU,Lubombo,SZ
SZ-MA,MA,Manzini,SZ
SZ-SH,SH,Shiselweni,SZ
SZ-U-A,U-A,(unassigned),SZ
TC-AC,AC,Ambergris Cays,TC
TC-DC,DC,Dellis Cay,TC
TC-EC,EC,East Caicos,TC
TC-FC,FC,French Cay,TC
TC-GT,GT,Grand Turk,TC
TC-LW,LW,Little Water Cay,TC
TC-MC,MC,Middle Caicos,TC
TC-NC,NC,North Caicos,TC
TC-PN,PN,Pine Cay,TC
TC-PR,PR,Providenciales,TC
TC-RC,RC,Parrot Cay,TC
TC-SC,SC,South Caicos,TC
TC-SL,SL,Salt Cay,TC
TC-U-A,U-A,(unassigned),TC
TC-WC,WC,West Caicos,TC
TD-BA,BA,Batha,TD
TD-BET,BET,Borkou-Ennedi-Tibesti,TD
TD-BI,BI,Biltine,TD
TD-CB,CB,Chari-Baguirmi,TD
TD-GR,GR,Guera,TD
TD-KA,KA,Kanem,TD
TD-LC,LC,Lac,TD
TD-LO,LO,Logone-Occidental,TD
TD-LR,LR,Logone-Oriental,TD
TD-MC,MC,Moyen-Chari,TD
TD-MK,MK,Mayo-Kebbi,TD
TD-OD,OD,Ouaddai,TD
TD-SA,SA,Salamat,TD
TG-C,C,Centrale Region,TG
TG-K,K,Kara Region,TG
TG-M,M,Maritime Region,TG
TG-P,P,Plateaux Region,TG
TG-S,S,Savanes Region,TG
TG-U-A,U-A,(unassigned),TG
TH-10,10,Bangkok Province,TH
TH-11,11,Samut Prakan Province,TH
TH-12,12,Nonthaburi Province,TH
TH-13,13,Pathum Thani Province,TH
TH-14,14,Phra Nakhon Si Ayutthaya Province,TH
TH-15,15,Ang Thong Province,TH
TH-16,16,Lop Buri Province,TH
TH-17,17,Sing Buri Province,TH
TH-18,18,Chai Nat Province,TH
TH-19,19,Saraburi Province,TH
TH-20,20,Chon Buri Province,TH
TH-21,21,Rayong Province,TH
TH-22,22,Chanthaburi Province,TH
TH-23,23,Trat Province,TH
TH-24,24,Chachoengsao Province,TH
TH-25,25,Prachin Buri Province,TH
TH-26,26,Nakhon Nayok Province,TH
TH-27,27,Sa Kaeo Province,TH
TH-30,30,Nakhon Ratchasima Province,TH
TH-31,31,Buri Ram Province,TH
TH-32,32,Surin Province,TH
TH-33,33,Si Sa Ket Province,TH
TH-34,34,Ubon Ratchathani Province,TH
TH-35,35,Yasothon Province,TH
TH-36,36,Chaiyaphum Province,TH
TH-37,37,Amnat Charoen Province,TH
TH-39,39,Nong Bua Lam Phu Province,TH
TH-40,40,Khon Kaen Province,TH
TH-41,41,Udon Thani Province,TH
TH-42,42,Loei Province,TH
TH-43,43,Nong Khai Province,TH
TH-44,44,Maha Sarakham Province,TH
TH-45,45,Roi Et Province,TH
TH-46,46,Kalasin Province,TH
TH-47,47,Sakon Nakhon Province,TH
TH-48,48,Nakhon Phanom Province,TH
TH-49,49,Mukdahan Province,TH
TH-50,50,Chiang Mai Province,TH
TH-51,51,Lamphun Province,TH
TH-52,52,Lampang Province,TH
TH-53,53,Uttaradit Province,TH
TH-54,54,Phrae Province,TH
TH-55,55,Nan Province,TH
TH-56,56,Phayao Province,TH
TH-57,57,Chiang Rai Province,TH
TH-58,58,Mae Hong Son Province,TH
TH-60,60,Nakhon Sawan Province,TH
TH-61,61,Uthai Thani Province,TH
TH-62,62,Kamphaeng Phet Province,TH
TH-63,63,Tak Province,TH
TH-64,64,Sukhothai Province,TH
TH-65,65,Phitsanulok Province,TH
TH-66,66,Phichit Province,TH
TH-67,67,Phetchabun Province,TH
TH-70,70,Ratchaburi Province,TH
TH-71,71,Kanchanaburi Province,TH
TH-72,72,Suphan Buri Province,TH
TH-73,73,Nakhon Pathom Province,TH
TH-74,74,Samut Sakhon Province,TH
TH-75,75,Samut Songkhram Province,TH
TH-76,76,Phetchaburi Province,TH
TH-77,77,Prachuap Khiri Khan Province,TH
TH-80,80,Nakhon Si Thammarat Province,TH
TH-81,81,Krabi Province,TH
TH-82,82,Phang Nga Province,TH
TH-83,83,Phuket Province,TH
TH-84,84,Surat Thani Province,TH
TH-85,85,Ranong Province,TH
TH-86,86,Chumphon Province,TH
TH-90,90,Songkhla Province,TH
TH-91,91,Satun Province,TH
TH-92,92,Trang Province,TH
TH-93,93,Phattalung Province,TH
TH-94,94,Pattani Province,TH
TH-95,95,Yala Province,TH
TH-96,96,Narathiwat Province,TH
TH-S,S,Pattaya Province,TH
TH-U-A,U-A,(unassigned),TH
TJ-DU,DU,Dushanbe,TJ
TJ-GB,GB,Gorno-Badakhshan Autonomous Region,TJ
TJ-KT,KT,Khatlon Region,TJ
TJ-RR,RR,Districts of Republican Subordination,TJ
TJ-SU,SU,Sughd Region,TJ
TJ-U-A,U-A,(unassigned),TJ
TK-U-A,U-A,(unassigned),TK
TL-AL,AL,Aileu,TL
TL-AN,AN,Ainaro,TL
TL-BA,BA,Baucau,TL
TL-BO,BO,Bobonaro,TL
TL-CO,CO,Cova Lima,TL
TL-DI,DI,Dili,TL
TL-ER,ER,Ermera,TL
TL-LA,LA,Lautém,TL
TL-LI,LI,Liquica,TL
TL-MF,MF,Manafahi,TL
TL-MT,MT,Manatuto,TL
TL-OE,OE,Oecussi,TL
TL-U-A,U-A,(unassigned),TL
TL-VI,VI,Viqueque,TL
TM-A,A,Ahal,TM
TM-B,B,Balkan,TM
TM-D,D,Daşoguz,TM
TM-L,L,Lebap,TM
TM-M,M,Mary,TM
TM-U-A,U-A,(unassigned),TM
TN-11,11,Tunis Governorate,TN
TN-12,12,Ariana Governorate,TN
TN-13,13,Ben Arous Governorate,TN
TN-14,14,Manouba Governorate,TN
TN-21,21,Nabeul Governorate,TN
TN-22,22,Zaghouan Governorate,TN
TN-23,23,Bizerte Governorate,TN
TN-31,31,Béja Governorate,TN
TN-32,32,Jendouba Governorate,TN
TN-33,33,Kef Governorate,TN
TN-34,34,Siliana Governorate,TN
TN-41,41,Kairouan Governorate,TN
TN-42,42,Kasserine Governorate,TN
TN-43,43,Sidi Bou Zid Governorate,TN
TN-51,51,Sousse Governorate,TN
TN-52,52,Monastir Governorate,TN
TN-53,53,Mahdia Governorate,TN
TN-61,61,Sfax Governorate,TN
TN-71,71,Gafsa Governorate,TN
TN-72,72,Tozeur Governorate,TN
TN-73,73,Kebili Governorate,TN
TN-81,81,Gabès Governorate,TN
TN-82,82,Medenine Governorate,TN
TN-83,83,Tataouine Governorate,TN
TN-U-A,U-A,(unassigned),TN
TO-01,01,Eua,TO
TO-02,02,Ha'apai,TO
TO-03,03,Niuas,TO
TO-04,04,Tongatapu,TO
TO-05,05,Vava',TO
TO-U-A,U-A,(unassigned),TO
TR-01,01,Adana Province,TR
TR-02,02,Adıyaman Province,TR
TR-03,03,Afyonkarahisar Province,TR
TR-04,04,Ağrı Province,TR
TR-05,05,Amasya Province,TR
TR-06,06,Ankara Province,TR
TR-07,07,Antalya Province,TR
TR-08,08,Artvin Province,TR
TR-09,09,Aydin Province,TR
TR-10,10,Balıkesir Province,TR
TR-11,11,Bilecik Province,TR
TR-12,12,Bingöl Province,TR
TR-13,13,Bitlis Province,TR
TR-14,14,Bolu Province,TR
TR-15,15,Burdur Province,TR
TR-16,16,Bursa Province,TR
TR-17,17,Çanakkale Province,TR
TR-18,18,Çankırı Province,TR
TR-19,19,Çorum Province,TR
TR-20,20,Denizli Province,TR
TR-21,21,Diyarbakir Province,TR
TR-22,22,Edirne Province,TR
TR-23,23,Elazığ Province,TR
TR-24,24,Erzincan Province,TR
TR-25,25,Erzurum Province,TR
TR-26,26,Eskişehir Province,TR
TR-27,27,Gaziantep Province,TR
TR-28,28,Giresun Province,TR
TR-29,29,Gümüşhane Province,TR
TR-30,30,Hakkâri Province,TR
TR-31,31,Hatay Province,TR
TR-32,32,Isparta Province,TR
TR-33,33,Icel Province,TR
TR-34,34,İstanbul Province,TR
TR-35,35,İzmir Province,TR
TR-36,36,Kars Province,TR
TR-37,37,Kastamonu Province,TR
TR-38,38,Kayseri Province,TR
TR-39,39,Kirklareli Province,TR
TR-40,40,Kırşehir Province,TR
TR-41,41,Kocaeli Province,TR
TR-42,42,Konya Province,TR
TR-43,43,Kütahya Province,TR
TR-44,44,Malatya Province,TR
TR-45,45,Manisa Province,TR
TR-46,46,Kahramanmaraş Province,TR
TR-47,47,Mardin Province,TR
TR-48,48,Muğla Province,TR
TR-49,49,Muş Province,TR
TR-50,50,Nevşehir Province,TR
TR-51,51,Niğde Province,TR
TR-52,52,Ordu Province,TR
TR-53,53,Rize Province,TR
